dataset,cnn,vit
no effect,0.981,0.975
20_center_masked,0.968,0.886
50_center_masked,0.641,0.505
80_center_masked,0.113,0.115
10_random_masked,0.113,0.288
15_random_masked,0.113,0.224
20_random_masked,0.113,0.197
0.5_gaussian_blur,0.972,0.972
2_gaussian_blur,0.226,0.437
4_gaussian_blur,0.141,0.307
AnnualCrop,0.960,1.000
Forest,0.887,0.363
HerbaceousVegetation,0.260,0.417
Highway,0.254,0.264
Industrial,0.982,0.661
Pasture,0.076,0.152
PermanentCrop,0.721,0.439
Residential,0.466,0.928
River,0.575,0.406
SeaLake,0.993,0.304
AnnualCrop,0.960,1.000
Forest,0.887,0.363
HerbaceousVegetation,0.260,0.417
Highway,0.254,0.264
Industrial,0.982,0.661
Pasture,0.076,0.152
PermanentCrop,0.721,0.439
Residential,0.466,0.928
River,0.575,0.406
SeaLake,0.993,0.304
